"id","CREATEDBYSTAFFID","CREATEDDATE","LASTUPDATEDBYSTAFFID","LASTUPDATEDDATE","STATUS","ALIAS","DESCRIPTION","NAME","parentbusinesssubmoduleid"
38,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","LOCK_UNLOCK_STAFF","Lock Unlock Staff","Lock Unlock Staff",7
39,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","VIEW_SERVER_AND_SERVER_INSTANCES","View Server / Server Instances","View Server / Server Instances",8
40,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","CREATE_SERVER_AND_SERVER_INSTANCES","Create Server / Server Instances","Create Server / Server Instances",8
41,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","UPDATE_SERVER_AND_SERVER_INSTANCES","Update Server / Server Instances","Update Server / Server Instances",8
42,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","DELETE_SERVER_AND_SERVER_INSTANCES","Delete Server / Server Instances","Delete Server / Server Instances",8
43,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","SERVER_INSTANCE_SYNCHRONIZATION","Server Instance Synchronization","Server Instance Synchronization",9
44,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","SERVER_INSTANCE_IMPORT_CONFIG","Server Instance Import Config","Server Instance Import Config",9
45,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","SERVER_INSTANCE_EXPORT_CONFIG","Server Instance Export Config","Server Instance Export Config",9
46,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","SERVER_INSTANCE_COPY_CONFIG","Server Instance Copy Config","Server Instance Copy Config",9
47,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","SERVER_INSTANCE_SOFT_RESTART","Server Instance Soft Restart","Server Instance Soft Restart",9
48,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","SERVER_INSTANCE_RELOAD_CONFIG","Server Instance Reload Config","Server Instance Reload Config",9
49,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","SERVER_INSTANCE_RELOAD_CACHE","Server Instance Reload Cache","Server Instance Reload Cache",9
50,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","SERVER_INSTANCE_START","Server Instance Start","Server Instance Start",9
51,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","SERVER_INSTANCE_STOP","Server Instance Stop","Server Instance Stop",9
52,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","SERVER_INSTANCE_UPLOAD_LICENSE","Server Instance Upload License","Server Instance Upload License",9
53,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","CONFIGURE_NMS_CONFIG","Configure NMS Config","View NMS Config",9
54,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","VIEW_SNMP_CONFIG","View SNMP Config","View SNMP Config",9
