ID,CREATEDBYSTAFFID,CREATEDDATE,LASTUPDATEDBYSTAFFID,LASTUPDATEDDATE,STATUS,DESCRIPTION,ENTITY,REGEXKEY,VALUE
131,1,2016-07-11 16:21:09.0130,1,2016-07-11 16:21:09.0130,ACTIVE,NATFlowParserMapping Option Template Value,NATFlowParserMapping,NATFlowParserMapping.optionTemplateValue,"^[\w]{0,50}$"
132,1,2016-07-11 16:21:09.0131,1,2016-07-11 16:21:09.0131,ACTIVE,NATFlowParserMapping Option Copy To Template Id,NATFlowParserMapping,NATFlowParserMapping.optionCopytoTemplateId,"^[0-9,]{0,50}$"
133,1,2016-07-11 16:21:09.0132,1,2016-07-11 16:21:09.0132,ACTIVE,NATFlowParserMapping Option Copy To Field,NATFlowParserMapping,NATFlowParserMapping.optionCopyTofield,"^[\w,]{0,50}$"
134,1,2016-07-11 16:21:09.0133,1,2016-07-11 16:21:09.0133,ACTIVE,Device Name,Device,Device.name,"^[\w-._,][\w\s-._,]{1,200}+$"
135,1,2016-07-11 16:21:09.0134,1,2016-07-11 16:21:09.0134,ACTIVE,Attribute Source field,ParserAttribute,ParserAttribute.sourceField,"^[;\w\s:,_|-]{1,500}+$"
136,1,2016-07-11 16:21:09.0135,1,2016-07-11 16:21:09.0135,ACTIVE,Attribute Default Text,ParserAttribute,ParserAttribute.defaultValue,"^[\w\s]{0,100}$"
137,1,2016-07-11 16:21:09.0136,1,2016-07-11 16:21:09.0136,ACTIVE,Attribute Description,ParserAttribute,ParserAttribute.description,"^[\w\s-./,/']{0,2000}$"
138,1,2016-07-11 16:21:09.0137,1,2016-07-11 16:21:09.0137,ACTIVE,Attribute Trim Chars,ParserAttribute,ParserAttribute.trimChars,"^[\w\s~!@#$%/\^&*(){}""]{0,100}$"
139,1,2016-07-11 16:21:09.0138,1,2016-07-11 16:21:09.0138,ACTIVE,Attribute Unified field,ParserAttribute,ParserAttribute.unifiedField,"^[\w]{1,100}+$"
140,1,2016-07-11 16:21:09.0139,1,2016-07-11 16:21:09.0139,ACTIVE,Device Description,Device,Device.description,"^[\w\s-./,/']{0,2000}$"
141,1,2016-07-11 16:21:09.0140,1,2016-07-11 16:21:09.0140,ACTIVE,Device Decode Type,Device,Device.decodeType,"^[\w]{1,50}+$"
142,1,2016-07-11 16:21:09.0141,1,2016-07-11 16:21:09.0141,ACTIVE,Device Type,DeviceType,DeviceType.name,"^[\w-._,][\w\s-._,]{1,200}+$"
143,1,2016-07-11 16:21:09.0142,1,2016-07-11 16:21:09.0142,ACTIVE,Vendor Type,VendorType,VendorType.name,"^[\w-._,][\w\s-._,]{1,200}+$"
144,1,2016-07-11 16:21:09.0143,1,2016-07-11 16:21:09.0143,ACTIVE,ParserMapping Source Date Format,ParserMapping,ParserMapping.srcDateFormat,"^[\sdMyYhmsHAaCcDdEeNnOoSTtUuWw0-9&/:-]+{1,100}"
145,1,2016-07-11 16:21:09.0144,1,2016-07-11 16:21:09.0144,ACTIVE,ParserMapping Name,ParserMapping,ParserMapping.name,"^[\w-._,][\w\s-._,]{1,200}+$"
146,1,2016-07-11 16:21:09.0145,1,2016-07-11 16:21:09.0145,ACTIVE,PathList Archive Path,PathList,PathList.archivePath,"^[\_$\w:/]{1,500}$"
