"ID","CREATEDBYSTAFFID","CREATEDDATE","LASTUPDATEDBYSTAFFID","LASTUPDATEDDATE","CREATEDDATE","STATUS","ENTITYTYPE","MAXRANGE","MINRANGE","ENTITYREGEXID","ADDITIONALCHECKVAL"
150,1,"2016-07-11 16:21:09.0025",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0025","ACTIVE","com.elitecore.sm.pathlist.model.CollectionDriverPathList",10000,1,78,-1
151,1,"2016-07-11 16:21:09.0025",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0025","ACTIVE","com.elitecore.sm.pathlist.model.CollectionDriverPathList",10000,1,79,-1
152,1,"2016-07-11 16:21:09.0025",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0025","ACTIVE","com.elitecore.sm.pathlist.model.DistributionDriverPathList",10000,1,78,-1
153,1,"2016-07-11 16:21:09.0025",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0025","ACTIVE","com.elitecore.sm.pathlist.model.DistributionDriverPathList",10000,1,79,-1
154,1,"2016-07-11 16:21:09.0025",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0025","ACTIVE","com.elitecore.sm.pathlist.model.ProcessingPathList",10000,1,78,-1
155,1,"2016-07-11 16:21:09.0025",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0025","ACTIVE","com.elitecore.sm.pathlist.model.ProcessingPathList",10000,1,79,-1
156,1,"2016-07-11 16:21:09.0025",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0025","ACTIVE","com.elitecore.sm.pathlist.model.ParsingPathList",10000,1,78,-1
157,1,"2016-07-11 16:21:09.0025",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0025","ACTIVE","com.elitecore.sm.pathlist.model.ParsingPathList",10000,1,79,-1
158,1,"2016-07-11 16:21:09.0025",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0025","ACTIVE","com.elitecore.sm.netflowclient.model.NetflowClient",2147483647,1,101,
159,1,"2016-07-11 16:21:09.0025",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0025","ACTIVE","com.elitecore.sm.netflowclient.model.NetflowClient",2147483647,1,102,
160,1,"2017-03-27 16:21:09.0025",1,"2017-03-27 10:17:12.0000","2017-03-27 16:21:09.0025","ACTIVE","com.elitecore.sm.services.model.PartitionParam",127,1,269,-1
