"ID","CREATEDBYSTAFFID","CREATEDDATE","LASTUPDATEDBYSTAFFID","LASTUPDATEDDATE","STATUS","APPLICABILITY","DATATYPE","DATATYPESEMANTICS","ELEMENTID","FIELDSTATUS","ATTRGROUP","NAME"
160,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","data","unsigned64","totalCounter","221","current","flowCounter","tcpPshTotalCount"
161,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","data","unsigned64","totalCounter","222","current","flowCounter","tcpAckTotalCount"
162,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","data","unsigned64","totalCounter","223","current","flowCounter","tcpUrgTotalCount"
163,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned16","","36","current","misc","flowActiveTimeout"
164,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned16","","37","current","misc","flowIdleTimeout"
165,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","data","unsigned8","identifier","136","current","misc","flowEndReason"
166,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","data","unsigned32","","161","current","misc","flowDurationMilliseconds"
167,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","data","unsigned32","","162","current","misc","flowDurationMicroseconds"
168,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","data","unsigned8","identifier","61","current","misc","flowDirection"
169,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","option","octetArray","","210","current","padding","paddingOctets"
170,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","ipv4Address","identifier","225","current","ipHeader","PostNATsourceIPv4Address"
171,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","ipv4Address","identifier","226","current","ipHeader","postNATDestinationIPv4Address"
172,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned16","identifier","227","current","transportHeader","postNAPTSourceTransportPort"
173,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned16","identifier","228","current","transportHeader","postNAPTDestinationTransportPort"
