"TYPE","ID","CREATEDBYSTAFFID","CREATEDDATE","LASTUPDATEDBYSTAFFID","LASTUPDATEDDATE","STATUS","APPLICATIONORDER","DEFAULTVAL","DESCRIPTION","SRCFIELD","SOURCEFIELDFORMAT","TRIMCHARS","UNIFIEDFIELD","ASN1DATATYPE","ATTRTYPE","CHILDATTR","RECINITIALIZER","SRCDATAFORMAT","ENDLENGTH","LENGTH","POSTFIX","PREFIX","RIGHTDELIMITER","STARTLENGTH","REGEX","SAMPLEDATA","SEQNUMBER","PARSERMAPPINGID","PATTERNID"
"ParserAttribute",52,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","destinationTransportPort","11","","","General10","","","","",,null,null,"","","",null,"","",null,3,null
"ParserAttribute",53,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","flowDirection","61","","","General11","","","","",,null,null,"","","",null,"","",null,3,null
"ParserAttribute",54,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","PostNATsourceIPv4Address","225","","","General5","","","","",,null,null,"","","",null,"","",null,3,null
"ParserAttribute",55,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","postNATDestinationIPv4Address","226","","","General12","","","","",,null,null,"","","",null,"","",null,3,null
"ParserAttribute",56,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","postNATSourceTransportPort","227","","","General13","","","","",,null,null,"","","",null,"","",null,3,null
"ParserAttribute",57,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","Post NAT Destination transport Port","228","","","General14","","","","",,null,null,"","","",null,"","",null,3,null
"ParserAttribute",58,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","IngressInterface","10","","","General15","","","","",,null,null,"","","",null,"","",null,3,null
"ParserAttribute",59,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","EgressInterface","14","","","General16","","","","",,null,null,"","","",null,"","",null,3,null
"ParserAttribute",60,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","OctetDeltaCount","1","","","General17","","","","",,null,null,"","","",null,"","",null,3,null
"ParserAttribute",61,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE",0,"","PacketDeltaCount","2","","","General18","","","","",,null,null,"","","",null,"","",null,3,null
