ID,CREATEDBYSTAFFID,CREATEDDATE,LASTUPDATEDBYSTAFFID,LASTUPDATEDDATE,STATUS,AGENTFULLCLASSNAME,ALIAS,DESCRIPTION,TYPE
1,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,com.elitecore.sm.agent.model.PacketStatisticsAgent,PACKET_STATISTICS_AGENT,Packet Statistics Agent,Packet Statistics Agent
2,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,com.elitecore.sm.agent.model.FileRenameAgent,FILE_RENAME_AGENT,File Rename Agent,File Rename Agent
